Ad_Set,Primary_Text,Headline,Description,CTA_Button,Image_Concept,Retargeting_Audience
Assessment Starters 1,"You started your brand assessment. You're halfway to strategic clarity. Finish in just 15 more minutes and get your personalized positioning recommendations.",Complete Your Assessment,15 minutes to clarity,Continue,Progress bar at 50% with "Almost there",Users who started but didn't complete assessment
Assessment Starters 2,"Most people who complete the Brandora assessment say the same thing: 'I wish I'd done this sooner.' Finish yours now and get the clarity you need.",Don't Wait on Clarity,Get your positioning strategy,Finish Now,Clock with "Your clarity is waiting",Users who started but didn't complete assessment
Pricing Viewers 1,"Still thinking about it? While you decide your competitors are getting clearer. Professional brand strategy starts at just $49. Your move.",Ready to Stand Out?,Strategy from $49 to Enterprise,Get Started,Competitor moving ahead on path,Users who viewed pricing page
Pricing Viewers 2,"You checked our pricing. Now let's show you the ROI. Founders who invest $49-149 in brand strategy see 3X higher conversion rates. Worth it?",See the ROI,Clear positioning = more conversions,Calculate ROI,ROI chart showing 3X improvement,Users who viewed pricing page
Pricing Viewers 3,"$149/month for unlimited brand strategy vs. $15000 for one agency engagement. The math is simple. The results are professional. Try it free.",Professional Strategy Accessible Pricing,$149 unlimited vs $15K once,Start Free Trial,Cost comparison visual,Users who viewed pricing page
Platform Visitors 1,"You visited Brandora. You're interested in brand strategy. Question: Are you going to keep thinking about it or actually build your strategic foundation?",Stop Thinking Start Building,30 minutes to complete strategy,Get Started,Thinking vs. doing split visual,Homepage visitors 7-day window
Platform Visitors 2,"You know you need clearer positioning. You know brand strategy matters. What you might not know: You can get it done in 30 minutes. Today.",Get It Done Today,Professional frameworks in 30min,Start Assessment,Today emphasized on calendar,Homepage visitors 7-day window
Blog Readers 1,"You're researching brand strategy. You're learning the frameworks. Ready to stop reading and start building? Get your personalized strategy in 30 minutes.",From Learning to Doing,Apply what you've learned,Start Now,Books transforming into action,Blog visitors past 14 days
Blog Readers 2,"Enjoyed that article? We have something better: Your actual brand strategy. Personalized. Professional. Ready in 30 minutes. Start your free assessment.",Your Strategy Awaits,Personalized professional actionable,Get Assessment,Article to strategy transformation,Blog visitors past 14 days
Video Viewers 75% 1,"You watched most of that video. You get it. Clear positioning drives growth. Now let's build yours. Start your free assessment—no credit card required.",Build Your Positioning,Free assessment starts now,Get Started,Video thumbnail with play count,Users who watched 75%+ of video
Video Viewers 75% 2,"Glad you watched that. Here's what to do next: Take our 30-minute assessment. Get personalized strategy recommendations. Implement immediately. Simple.",Take the Next Step,From insight to implementation,Start Assessment,Three steps visually,Users who watched 75%+ of video
Cart Abandoners 1,"You were about to start building your brand strategy. What stopped you? Questions? Concerns? Or just distracted? Either way your assessment is waiting.",Your Assessment is Ready,Complete it anytime no pressure,Continue,Abandoned cart with "Still here",Users who added to cart but didn't purchase
Cart Abandoners 2,"We saved your spot. Your brand strategy assessment is ready whenever you are. 30 minutes. Professional results. Start now or come back later.",We Saved Your Spot,Start your assessment anytime,Get Started,Reserved seat/saved spot visual,Users who added to cart but didn't purchase
Multi-Touch Visitors 1,"You've visited Brandora 3+ times. You're clearly interested in professional brand strategy. You're clearly hesitating on something. Let's talk about it.",Questions? Let's Talk.,Schedule a free consultation call,Book Call,Conversation icon with "3+ visits",Users with 3+ sessions past 30 days
Multi-Touch Visitors 2,"Third visit? Fourth? You're doing your research. Smart. Here's what you've learned: Brandora delivers agency-quality strategy at accessible pricing. Try it free.",You've Done Your Research,Time to experience it yourself,Start Free Trial,Research checklist all checked,Users with 3+ sessions past 30 days
Lookalike High-Value 1,"People like you have built amazing brands with Brandora. Founders at your stage. Your industry. Similar challenges. They got clarity in 30 minutes. Your turn.",Join Founders Like You,Trusted by your peers,Get Started,Diverse founder community,Lookalike audience of purchasers
Lookalike High-Value 2,"10000+ entrepreneurs chose Brandora for professional brand strategy. Startups like yours. Budgets like yours. Results they could actually measure. See why.",See Why 10000+ Trust Brandora,Professional accessible proven,Explore Platform,Social proof counter,Lookalike audience of purchasers
Engaged Non-Converters 1,"You've engaged with our content multiple times. You clearly value brand strategy. You haven't pulled the trigger yet. What's holding you back?",What's Holding You Back?,Talk to our team - no pressure,Contact Us,Question marks to solutions,Users with 3+ engagements no purchase
Engaged Non-Converters 2,"Liked our content. Shared our posts. Haven't tried the platform. We get it—trying new tools is a commitment. That's why we offer 14 days free. Zero risk.",Try It Risk-Free,14-day free trial no credit card,Start Trial,Risk-free guarantee badge,Users with 3+ engagements no purchase
